CASE_ID,age,income,household_,attitude,subnorms,pbc
000028749,55to64,less75k,0.0,0.0625,0.0,-0.6666666666666666
000054913,25to44,less75k,0.0,0.875,1.0,-0.3333333333333333
000031643,65plus,less75k,0.0,0.0625,0.0,-0.3333333333333333
000040878,45to54,150kplus,1.0,0.0625,-0.5,0.0
000060435,25to44,150kplus,1.0,-0.125,0.0,-0.5
000044596,45to54,less75k,1.0,0.5,0.75,0.0
000055133,65plus,150kplus,0.0,0.0,0.0,0.5
000054898,25to44,less75k,0.0,-0.0625,0.5,-0.3333333333333333
000041019,25to44,150kplus,1.0,-0.1875,0.0,0.0
000025177,65plus,150kplus,0.0,0.25,0.5,-0.3333333333333333
000031626,45to54,100to150k,0.0,0.3125,0.75,-0.6666666666666666
000065094,65plus,100to150k,0.0,-0.0625,-0.25,-0.1666666666666666
000065071,55to64,150kplus,0.0,0.1875,0.0,-0.5
000065090,65plus,75to100k,0.0,0.0625,-0.25,-0.3333333333333333
000026089,45to54,less75k,0.0,0.75,0.25,-0.5
000013731,65plus,100to150k,0.0,0.5,0.75,0.0
000037103,65plus,less75k,0.0,-0.0625,0.25,-0.5
000054961,25to44,150kplus,0.0,0.5,0.25,0.0
000064155,65plus,less75k,1.0,0.3125,0.0,-0.6666666666666666
000026560,25to44,150kplus,0.0,0.0,0.0,0.1666666666666666
000007300,55to64,less75k,0.0,-0.375,0.5,-1.0
000006938,65plus,less75k,0.0,-0.125,0.0,-0.5
000013685,65plus,75to100k,0.0,-0.125,0.0,-0.6666666666666666
000007239,25to44,less75k,0.0,0.0625,0.25,-1.0
000032855,55to64,100to150k,0.0,0.4375,0.5,-0.1666666666666666
000007259,45to54,less75k,0.0,0.1875,0.25,0.1666666666666666
000009712,65plus,75to100k,1.0,0.375,1.0,-0.1666666666666666
000026369,55to64,100to150k,1.0,0.25,0.75,-0.3333333333333333
000071431,25to44,less75k,1.0,0.5,0.25,-0.1666666666666666
000064875,55to64,150kplus,1.0,0.375,0.25,0.0
000013833,25to44,75to100k,1.0,-0.4375,1.0,-0.6666666666666666
000026076,25to44,100to150k,0.0,0.5625,1.0,-0.3333333333333333
000013878,55to64,less75k,1.0,-0.1875,0.75,-0.3333333333333333
000023493,45to54,150kplus,1.0,0.625,0.0,0.0
000005760,65plus,less75k,0.0,0.125,0.0,-0.3333333333333333
000007100,65plus,less75k,0.0,-0.3125,0.0,-0.5
000058798,45to54,100to150k,0.0,0.1875,0.5,0.1666666666666666
000016832,65plus,75to100k,0.0,0.0,0.75,-0.3333333333333333
000076755,65plus,100to150k,0.0,-0.375,0.25,0.0
000069217,65plus,less75k,1.0,0.8125,0.0,-1.0
000064935,45to54,less75k,0.0,0.0625,0.5,0.0
000056892,25to44,75to100k,1.0,0.375,-0.25,-0.1666666666666666
000054824,55to64,less75k,0.0,0.4375,0.5,-0.3333333333333333
000016496,45to54,less75k,1.0,0.6875,0.0,0.5
000026281,65plus,less75k,1.0,0.3125,0.0,-0.5
000010738,65plus,100to150k,1.0,0.5,0.5,-0.1666666666666666
000033014,65plus,75to100k,1.0,0.25,0.5,-0.1666666666666666
000064951,55to64,less75k,0.0,0.375,0.5,-0.1666666666666666
000031460,55to64,less75k,1.0,0.1875,0.75,-0.3333333333333333
000069101,45to54,less75k,0.0,0.0,0.75,-0.8333333333333334
000047005,55to64,150kplus,1.0,0.6875,0.25,-0.8333333333333334
000063259,65plus,less75k,0.0,0.0,0.5,0.0
000005630,25to44,150kplus,0.0,0.0,0.0,-0.3333333333333333
000021782,55to64,150kplus,0.0,0.375,0.75,-1.0
000076572,55to64,100to150k,0.0,0.4375,0.0,-0.3333333333333333
000017078,65plus,less75k,0.0,0.375,0.25,-0.3333333333333333
000013318,55to64,100to150k,0.0,0.6875,1.0,-0.3333333333333333
000017630,45to54,75to100k,0.0,-0.5,0.0,-1.0
000057320,45to54,less75k,0.0,0.25,0.5,-0.5
000052627,65plus,less75k,0.0,0.0,0.25,-0.5
000064709,25to44,less75k,1.0,0.375,1.0,0.1666666666666666
000013310,55to64,75to100k,0.0,0.375,-1.0,-0.5
000018720,55to64,150kplus,1.0,0.375,0.5,-0.3333333333333333
000023426,55to64,75to100k,1.0,0.0,0.0,-0.6666666666666666
000006880,55to64,100to150k,0.0,0.25,0.25,-0.3333333333333333
000006642,45to54,75to100k,0.0,0.125,0.0,-1.0
000052409,25to44,less75k,0.0,0.3125,0.75,-0.8333333333333334
000043287,55to64,75to100k,1.0,0.1875,0.25,-0.1666666666666666
000029024,65plus,less75k,0.0,0.0625,0.5,0.3333333333333333
000002924,45to54,150kplus,0.0,0.3125,1.0,-0.5
000043116,25to44,less75k,1.0,0.375,0.75,0.5
000025989,25to44,150kplus,0.0,0.5,0.5,0.1666666666666666
000063458,55to64,less75k,1.0,0.4375,0.5,-0.3333333333333333
000065048,55to64,less75k,0.0,0.125,1.0,-0.6666666666666666
000064821,65plus,100to150k,1.0,0.3125,0.5,-0.5
000055053,55to64,100to150k,0.0,0.4375,0.0,-0.1666666666666666
000019142,55to64,75to100k,1.0,0.3125,0.0,-0.6666666666666666
000006841,25to44,less75k,0.0,0.625,0.5,-0.3333333333333333
000026306,45to54,less75k,1.0,1.0,1.0,0.0
000043218,25to44,less75k,1.0,-0.5,0.25,-0.1666666666666666
000065105,25to44,less75k,1.0,0.125,-1.0,-0.1666666666666666
000030952,55to64,75to100k,0.0,0.375,0.5,-0.1666666666666666
000002904,45to54,100to150k,0.0,-0.0625,0.5,0.1666666666666666
000069313,65plus,150kplus,0.0,-0.375,0.0,0.1666666666666666
000045959,55to64,75to100k,0.0,0.875,0.5,-0.5
000035727,25to44,100to150k,0.0,0.0,1.0,-0.6666666666666666
000024873,55to64,less75k,1.0,0.125,0.25,-0.3333333333333333
000057185,45to54,less75k,1.0,0.4375,0.0,-0.5
000023441,55to64,100to150k,1.0,0.3125,0.75,0.1666666666666666
000007093,65plus,less75k,0.0,-0.3125,0.0,-0.3333333333333333
000024713,55to64,less75k,0.0,0.375,0.5,-0.3333333333333333
000023455,55to64,150kplus,1.0,0.125,1.0,0.0
000035739,25to44,150kplus,0.0,0.125,0.0,0.0
000011862,25to44,75to100k,0.0,0.5625,0.5,-0.1666666666666666
000065030,45to54,100to150k,0.0,0.1875,0.0,-0.5
000070169,45to54,75to100k,0.0,-0.5,0.25,0.0
000031291,65plus,75to100k,0.0,0.4375,0.0,-0.3333333333333333
000052715,45to54,100to150k,1.0,0.375,0.25,-0.6666666666666666
000041196,25to44,100to150k,0.0,0.5625,0.25,-0.5
000035859,25to44,75to100k,0.0,0.0625,0.75,-0.1666666666666666
000042784,55to64,less75k,0.0,0.3125,0.5,-1.0
000041749,65plus,less75k,0.0,-0.1875,0.75,-0.5
000044236,25to44,75to100k,0.0,0.875,0.5,-0.3333333333333333
000035958,55to64,150kplus,0.0,0.0625,0.0,-0.1666666666666666
000072501,25to44,less75k,0.0,0.4375,0.25,-0.5
000047643,55to64,less75k,0.0,0.4375,0.75,-0.6666666666666666
000044465,65plus,less75k,0.0,0.375,-0.25,0.0
000072624,25to44,75to100k,1.0,-0.625,0.5,-0.3333333333333333
000031895,65plus,100to150k,0.0,0.125,0.5,-0.1666666666666666
000046106,45to54,100to150k,1.0,0.25,0.5,-0.5
000040542,45to54,less75k,0.0,0.3125,0.5,-0.1666666666666666
000059094,65plus,100to150k,0.0,-0.0625,0.5,-0.5
000069325,65plus,75to100k,0.0,0.4375,0.0,0.0
000059418,65plus,100to150k,1.0,0.5,0.5,-0.3333333333333333
000006640,45to54,75to100k,0.0,0.4375,0.0,-0.8333333333333334
000059131,25to44,100to150k,1.0,0.5625,0.75,-0.5
000059337,55to64,150kplus,1.0,0.125,0.25,0.0
000026214,65plus,100to150k,0.0,0.0,0.5,0.0
000047710,55to64,less75k,0.0,0.75,0.25,0.3333333333333333
000065035,55to64,less75k,0.0,0.5625,0.0,0.1666666666666666
000045664,55to64,75to100k,0.0,0.0,0.5,-1.0
000056671,25to44,less75k,1.0,0.4375,0.75,-0.3333333333333333
000065125,45to54,100to150k,1.0,0.0625,0.5,-0.5
000031905,65plus,100to150k,0.0,0.125,0.75,-0.5
000035134,25to44,less75k,1.0,0.5,0.25,-0.3333333333333333
000055030,55to64,less75k,0.0,0.1875,0.75,-0.1666666666666666
000031908,65plus,150kplus,0.0,0.4375,-0.5,0.0
000058931,45to54,less75k,0.0,0.5625,0.5,-0.8333333333333334
000058896,25to44,less75k,0.0,0.375,0.5,-0.5
000039675,45to54,100to150k,0.0,0.5,0.0,0.0
000027409,25to44,150kplus,1.0,-0.125,0.5,0.0
000001881,25to44,less75k,0.0,0.875,0.5,0.5
000031920,25to44,less75k,0.0,-0.375,0.25,-0.5
000072923,55to64,150kplus,0.0,0.5,0.5,-0.8333333333333334
000059240,65plus,150kplus,1.0,0.375,0.5,0.0
000023933,55to64,100to150k,1.0,0.0,0.25,-0.3333333333333333
000070167,45to54,75to100k,0.0,0.125,0.75,0.0
000050218,45to54,75to100k,0.0,0.375,0.75,-0.6666666666666666
000062368,55to64,150kplus,0.0,0.0625,0.0,-0.1666666666666666
000041875,45to54,less75k,0.0,0.3125,0.5,-0.8333333333333334
000009858,25to44,100to150k,0.0,0.625,0.0,-0.3333333333333333
000026239,45to54,less75k,1.0,0.6875,0.75,-0.1666666666666666
000059161,45to54,75to100k,1.0,0.125,0.25,-1.0
000045913,25to44,less75k,0.0,0.375,0.0,-0.3333333333333333
000027645,65plus,150kplus,1.0,0.375,0.75,0.1666666666666666
000006128,65plus,150kplus,1.0,0.375,0.75,0.1666666666666666
000027578,65plus,75to100k,0.0,-0.125,0.5,0.0
000020231,65plus,less75k,0.0,0.125,0.75,-0.5
000041846,45to54,less75k,1.0,0.5,1.0,0.0
000018576,65plus,150kplus,1.0,0.375,0.5,0.0
000045743,55to64,100to150k,0.0,0.5,0.5,-0.3333333333333333
000055491,65plus,150kplus,0.0,-0.375,0.75,0.0
000020312,65plus,150kplus,1.0,0.375,0.75,0.0
000042141,25to44,150kplus,0.0,0.0625,0.0,0.0
000039992,55to64,less75k,1.0,0.8125,-0.25,-0.3333333333333333
000042142,25to44,150kplus,0.0,0.5,0.75,-0.5
000010002,55to64,100to150k,0.0,0.125,1.0,-0.5
000039765,55to64,150kplus,0.0,0.0,-0.75,-0.3333333333333333
000024831,65plus,less75k,0.0,0.1875,0.5,-0.6666666666666666
000036056,55to64,100to150k,1.0,-1.0,0.25,0.1666666666666666
000046696,65plus,less75k,0.0,0.5,0.5,0.0
000073018,25to44,150kplus,1.0,0.4375,0.0,-0.8333333333333334
000042642,65plus,150kplus,1.0,0.1875,0.75,0.1666666666666666
000024865,25to44,100to150k,1.0,0.5625,0.25,-0.3333333333333333
000029295,65plus,less75k,0.0,0.25,0.0,-0.3333333333333333
000011844,55to64,less75k,1.0,0.0,0.5,-0.3333333333333333
000069856,65plus,100to150k,1.0,0.5,0.5,0.5
000005486,65plus,100to150k,1.0,0.125,0.5,-0.1666666666666666
000024863,25to44,less75k,1.0,0.875,0.75,-0.5
000024123,65plus,less75k,0.0,0.0,0.0,-0.3333333333333333
000044432,65plus,less75k,0.0,0.0625,0.25,0.0
000049433,25to44,less75k,1.0,0.4375,0.25,-0.3333333333333333
000057598,25to44,less75k,0.0,-0.125,1.0,-0.1666666666666666
000072841,25to44,100to150k,0.0,0.75,-0.25,-0.5
000027549,25to44,100to150k,0.0,-0.6875,1.0,-0.3333333333333333
000064376,45to54,100to150k,0.0,0.1875,0.5,-0.5
000064367,45to54,less75k,0.0,0.625,0.0,-0.1666666666666666
000073112,25to44,100to150k,1.0,0.9375,0.25,-0.6666666666666666
000023195,55to64,100to150k,0.0,0.3125,0.5,-0.1666666666666666
000061527,65plus,less75k,0.0,-0.25,0.0,-0.3333333333333333
000005356,55to64,less75k,1.0,0.0,0.75,-0.5
000078066,65plus,150kplus,0.0,-0.125,0.75,-0.3333333333333333
000039506,65plus,75to100k,0.0,0.125,0.25,-0.3333333333333333
000046437,65plus,150kplus,0.0,0.0,0.0,0.0
000018854,65plus,less75k,0.0,0.0,0.0,-0.3333333333333333
000057725,55to64,less75k,0.0,0.4375,0.25,-0.1666666666666666
000073107,65plus,150kplus,1.0,0.1875,0.75,0.0
000033703,55to64,150kplus,1.0,0.75,0.0,0.0
000043050,65plus,less75k,0.0,0.0,0.25,0.0
000039495,65plus,less75k,0.0,0.375,0.5,-0.1666666666666666
000032139,65plus,less75k,1.0,0.0,0.0,-0.6666666666666666
000044860,65plus,less75k,1.0,0.125,0.5,-0.5
000035983,65plus,less75k,0.0,0.0,0.0,-0.8333333333333334
000050153,65plus,150kplus,0.0,0.125,0.75,0.5
000042898,25to44,less75k,0.0,0.0625,0.25,-0.3333333333333333
000024698,45to54,less75k,0.0,0.0,0.0,-0.3333333333333333
000006184,45to54,less75k,0.0,-0.125,0.5,-0.5
000043240,45to54,100to150k,1.0,0.0625,0.5,-0.1666666666666666
000044457,65plus,less75k,0.0,0.375,0.0,-0.1666666666666666
000066632,45to54,75to100k,0.0,-0.125,0.5,-0.3333333333333333
000034219,45to54,100to150k,0.0,0.3125,0.25,0.0
000054771,25to44,less75k,0.0,0.0625,0.0,-0.1666666666666666
000034242,55to64,less75k,0.0,0.1875,0.75,-0.1666666666666666
000042209,55to64,100to150k,0.0,0.25,0.5,0.1666666666666666
000059145,45to54,less75k,1.0,0.5,0.25,0.0
000056906,25to44,100to150k,1.0,0.375,0.25,-0.3333333333333333
000042740,45to54,less75k,0.0,0.625,0.0,-0.1666666666666666
000034527,25to44,150kplus,1.0,0.4375,0.25,-0.1666666666666666
000026209,65plus,100to150k,0.0,-0.0625,0.75,0.0
000056993,55to64,less75k,1.0,0.1875,0.5,-0.3333333333333333
000001276,25to44,less75k,0.0,0.5,0.5,-0.6666666666666666
000051275,25to44,75to100k,1.0,0.5625,1.0,-0.3333333333333333
000054805,45to54,75to100k,0.0,0.4375,0.5,-0.5
000005229,65plus,less75k,0.0,0.375,0.25,-0.3333333333333333
000046908,55to64,150kplus,1.0,0.5,-0.25,0.1666666666666666
000071558,65plus,75to100k,0.0,-0.625,0.25,0.0
000034436,25to44,100to150k,1.0,0.0,0.25,-0.5
000021499,65plus,less75k,0.0,0.5,0.25,-0.3333333333333333
000032197,65plus,less75k,1.0,0.625,0.5,-0.6666666666666666
000005881,65plus,less75k,1.0,0.0625,0.0,-0.5
000026371,55to64,150kplus,1.0,0.6875,0.5,0.0
000042079,45to54,150kplus,1.0,-0.1875,0.25,0.0
000072872,45to54,100to150k,0.0,0.25,0.0,-0.3333333333333333
000064558,45to54,150kplus,0.0,0.5625,0.5,-0.3333333333333333
000023307,55to64,100to150k,0.0,0.75,0.5,-0.1666666666666666
000010506,55to64,150kplus,0.0,0.1875,0.0,-0.1666666666666666
000005888,65plus,75to100k,1.0,0.375,0.5,-0.6666666666666666
000018701,45to54,less75k,1.0,0.9375,0.5,-0.3333333333333333
000072830,25to44,75to100k,0.0,0.125,0.25,-0.1666666666666666
000042026,25to44,less75k,1.0,0.875,0.0,-0.6666666666666666
000017006,55to64,less75k,0.0,0.3125,0.75,-0.8333333333333334
000018652,25to44,100to150k,0.0,0.4375,0.75,-0.3333333333333333
000046943,25to44,150kplus,1.0,0.25,0.5,0.3333333333333333
000021581,45to54,less75k,1.0,0.5,0.0,-0.5
000005682,45to54,150kplus,0.0,0.375,0.5,0.0
000018684,65plus,75to100k,0.0,-0.375,0.0,0.1666666666666666
000059664,55to64,100to150k,0.0,0.5625,0.75,0.3333333333333333
000005392,25to44,75to100k,1.0,0.5,1.0,-0.5
000070932,25to44,less75k,1.0,0.1875,0.5,-0.6666666666666666
000023295,55to64,75to100k,0.0,0.375,0.5,-0.3333333333333333
000064635,65plus,less75k,0.0,0.25,0.75,-0.3333333333333333
000040732,55to64,less75k,0.0,-0.6875,0.5,-0.3333333333333333
000050770,65plus,less75k,1.0,0.375,0.5,-0.1666666666666666
000043254,65plus,less75k,1.0,0.125,0.25,-1.0
000058593,65plus,100to150k,0.0,-0.0625,-0.5,-0.1666666666666666
000050697,65plus,75to100k,1.0,0.25,0.75,-0.1666666666666666
000064969,55to64,150kplus,0.0,0.5,0.0,-0.3333333333333333
000047022,25to44,100to150k,0.0,0.0,1.0,-0.3333333333333333
000046940,25to44,100to150k,1.0,0.5625,0.75,-0.1666666666666666
000014660,45to54,100to150k,0.0,-0.0625,0.5,-0.6666666666666666
000005613,25to44,100to150k,0.0,0.0,1.0,-0.6666666666666666
000052356,55to64,75to100k,0.0,-0.125,0.5,0.0
000005261,25to44,75to100k,0.0,0.875,0.5,-0.5
000059063,65plus,less75k,0.0,0.3125,0.0,-0.3333333333333333
000041920,25to44,less75k,0.0,0.0625,0.25,-0.1666666666666666
000046808,65plus,less75k,0.0,0.0,0.0,-0.6666666666666666
000064282,65plus,less75k,0.0,0.3125,0.25,-0.5
000059115,25to44,less75k,1.0,0.3125,0.0,0.0
000014694,55to64,100to150k,0.0,-0.375,0.0,-0.8333333333333334
000027590,25to44,100to150k,1.0,0.4375,0.5,-0.3333333333333333
000010393,25to44,150kplus,0.0,0.0,0.0,0.1666666666666666
000009182,65plus,150kplus,1.0,0.1875,0.75,0.1666666666666666
000010313,55to64,100to150k,0.0,0.25,0.5,-0.1666666666666666
000008804,65plus,less75k,1.0,0.625,0.0,-0.5
000070567,25to44,150kplus,0.0,0.0625,0.0,-0.5
000070228,45to54,less75k,1.0,0.125,1.0,-0.5
000027537,25to44,less75k,0.0,-0.0625,0.0,-1.0
000058509,45to54,less75k,1.0,0.5,0.0,-0.5
000009000,45to54,150kplus,0.0,0.625,0.5,-0.1666666666666666
000071535,55to64,less75k,0.0,-0.25,0.75,-0.3333333333333333
000050632,45to54,100to150k,1.0,0.5,0.75,0.0
000041940,45to54,less75k,0.0,0.0,0.75,-0.5
000061597,25to44,75to100k,0.0,0.5,0.0,-0.1666666666666666
000020619,45to54,less75k,0.0,0.125,0.5,-0.1666666666666666
000020613,45to54,less75k,0.0,0.1875,0.25,-0.1666666666666666
000061595,25to44,less75k,0.0,0.0625,-0.25,-0.6666666666666666
000052720,45to54,150kplus,1.0,0.0625,0.75,-0.1666666666666666
000062126,45to54,less75k,1.0,0.625,0.5,0.0
000006859,25to44,150kplus,0.0,0.0,0.0,0.0
000070187,65plus,less75k,0.0,0.4375,0.5,-0.6666666666666666
000062663,25to44,less75k,0.0,0.0,-0.25,-0.3333333333333333
000036021,25to44,less75k,1.0,0.5625,0.0,-0.3333333333333333
000054404,25to44,less75k,0.0,0.5,0.75,-0.5
000059959,65plus,150kplus,1.0,0.1875,0.75,0.0
000005681,45to54,150kplus,0.0,0.3125,0.5,0.0
000062047,25to44,less75k,0.0,-0.5625,0.5,-0.1666666666666666
000009035,55to64,100to150k,0.0,0.4375,1.0,0.0
000061966,45to54,150kplus,0.0,0.375,0.5,0.0
000006851,25to44,less75k,0.0,0.75,0.0,-0.5
000036066,65plus,less75k,1.0,0.8125,0.5,-0.1666666666666666
000021023,25to44,less75k,1.0,0.5,0.5,-0.6666666666666666
000009065,65plus,less75k,0.0,-0.0625,0.0,-0.3333333333333333
000052867,45to54,150kplus,1.0,1.0,0.0,0.0
000030985,65plus,less75k,0.0,-0.1875,0.0,-0.3333333333333333
000030778,55to64,less75k,0.0,0.4375,0.0,-0.3333333333333333
000067886,55to64,less75k,1.0,0.625,0.25,-0.3333333333333333
000003392,45to54,150kplus,1.0,0.125,0.25,-0.8333333333333334
000035877,25to44,100to150k,0.0,0.375,1.0,-0.5
000045718,65plus,150kplus,0.0,0.4375,0.75,-0.3333333333333333
000056415,25to44,75to100k,0.0,0.5,1.0,0.0
000007010,25to44,150kplus,0.0,-0.375,0.75,0.0
000031413,65plus,less75k,0.0,-0.0625,0.5,0.3333333333333333
000057771,65plus,less75k,0.0,-0.375,0.75,-0.3333333333333333
000067904,55to64,150kplus,1.0,-0.4375,0.75,-0.5
000042443,65plus,less75k,0.0,0.0625,0.25,-0.3333333333333333
000062716,45to54,75to100k,0.0,-0.3125,0.25,-0.1666666666666666
000019304,45to54,less75k,0.0,0.0625,0.5,-0.5
000035764,55to64,less75k,0.0,-0.375,1.0,-0.3333333333333333
000006900,65plus,less75k,0.0,-0.1875,0.0,-0.3333333333333333
000031297,65plus,75to100k,0.0,-0.75,0.0,-0.6666666666666666
000068073,45to54,75to100k,1.0,0.125,0.5,-0.3333333333333333
000005789,65plus,150kplus,0.0,0.3125,0.75,0.3333333333333333
000058319,65plus,less75k,1.0,0.625,-0.5,-0.5
000068064,25to44,150kplus,1.0,0.4375,0.25,0.0
000019307,45to54,less75k,0.0,0.75,0.75,-0.5
000068108,65plus,less75k,1.0,0.5,0.5,-0.5
000035729,25to44,100to150k,0.0,0.25,0.25,0.0
000045610,45to54,75to100k,1.0,-0.0625,0.5,-0.5
000004052,25to44,less75k,0.0,0.0,0.75,-0.5
000036042,45to54,100to150k,1.0,0.125,0.25,-0.1666666666666666
000027166,45to54,150kplus,0.0,0.375,1.0,-0.1666666666666666
000002565,65plus,less75k,1.0,0.625,0.25,-0.5
000041680,25to44,75to100k,0.0,0.125,0.5,-0.1666666666666666
000002589,65plus,100to150k,1.0,0.3125,0.5,-0.1666666666666666
000062920,55to64,less75k,0.0,-0.0625,0.5,-0.3333333333333333
000067604,25to44,150kplus,0.0,0.0,0.0,-0.5
000031192,25to44,less75k,0.0,-0.0625,0.25,-0.5
000062052,25to44,less75k,0.0,0.1875,0.0,-1.0
000013435,25to44,75to100k,0.0,0.25,0.25,0.0
000062899,45to54,100to150k,0.0,0.3125,0.25,-0.5
000067592,25to44,100to150k,0.0,0.0,0.25,-0.3333333333333333
000013507,45to54,75to100k,0.0,-0.3125,0.25,-0.6666666666666666
000067543,65plus,150kplus,0.0,-1.0,0.0,0.0
000062007,65plus,less75k,0.0,-0.0625,0.25,-0.6666666666666666
000073524,65plus,75to100k,0.0,0.25,0.25,-0.3333333333333333
000031597,45to54,less75k,0.0,0.6875,0.0,-0.3333333333333333
000069439,65plus,75to100k,0.0,0.3125,-0.25,0.1666666666666666
000061946,45to54,less75k,0.0,0.4375,0.75,-0.6666666666666666
000017525,55to64,150kplus,0.0,0.0,0.5,0.0
000059811,25to44,less75k,1.0,0.875,0.5,-0.1666666666666666
000031618,45to54,75to100k,0.0,0.3125,-0.25,-0.1666666666666666
000007849,45to54,100to150k,1.0,-0.6875,0.0,0.0
000020668,55to64,150kplus,0.0,0.1875,0.0,-0.3333333333333333
000069477,25to44,less75k,0.0,0.125,0.75,-0.8333333333333334
000069448,65plus,100to150k,0.0,0.25,0.5,0.0
000007869,45to54,less75k,1.0,0.75,1.0,-0.3333333333333333
000059651,55to64,75to100k,0.0,-0.8125,0.25,0.0
000067787,65plus,75to100k,0.0,0.0625,-0.5,-0.1666666666666666
000059668,55to64,100to150k,0.0,0.25,0.5,-0.6666666666666666
000002265,25to44,less75k,0.0,0.25,1.0,0.0
000004089,45to54,less75k,0.0,0.0,0.0,0.0
000069408,55to64,100to150k,0.0,-0.375,0.5,0.3333333333333333
000009149,55to64,75to100k,1.0,0.4375,0.5,-0.5
000055045,55to64,75to100k,0.0,0.3125,0.0,-0.3333333333333333
000063453,45to54,150kplus,1.0,0.0,0.0,0.0
000029097,65plus,150kplus,0.0,0.0,0.0,0.1666666666666666
000063959,55to64,100to150k,0.0,-0.25,0.0,-0.5
000002227,65plus,less75k,0.0,0.125,0.25,0.0
000063380,65plus,less75k,1.0,0.5,0.5,-0.5
000029095,65plus,150kplus,0.0,0.125,0.25,0.5
000045406,25to44,less75k,0.0,0.0,0.0,-0.8333333333333334
000067980,45to54,150kplus,1.0,0.5,0.5,0.0
000073576,55to64,less75k,1.0,0.375,0.5,0.0
000041704,45to54,less75k,0.0,0.625,0.5,-0.1666666666666666
000031449,45to54,less75k,1.0,0.5625,0.5,0.0
000064037,65plus,150kplus,0.0,0.125,0.5,0.1666666666666666
000067068,25to44,less75k,1.0,0.3125,0.25,0.0
000007162,65plus,100to150k,1.0,0.3125,0.5,-0.3333333333333333
000004254,55to64,less75k,0.0,0.5625,0.25,-0.6666666666666666
000009216,25to44,150kplus,1.0,0.25,0.0,-0.3333333333333333
000010411,45to54,75to100k,0.0,0.0625,0.25,-0.1666666666666666
000046422,65plus,100to150k,0.0,0.0625,0.75,-0.5
000004115,55to64,less75k,0.0,0.4375,0.5,0.1666666666666666
000041796,45to54,100to150k,1.0,0.5,0.25,-0.5
000008691,65plus,less75k,0.0,0.125,0.5,-0.3333333333333333
000031351,45to54,less75k,0.0,0.3125,0.0,-0.1666666666666666
000064030,65plus,150kplus,0.0,0.375,1.0,0.0
000009398,25to44,150kplus,0.0,0.5,0.75,0.0
